,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.060,0.023,0.181,0.229,0.264,,,0.241,0.215,0.160,,0.172
DCC_bivariate_loop,0.068,0.026,0.184,0.232,0.266,,,0.243,0.221,0.162,,0.175
SW_cross_validated,0.100,0.040,0.121,0.150,0.180,,,0.208,0.151,0.175,,0.140
SW_15,0.230,0.096,0.174,0.177,0.189,,,0.212,0.179,0.210,,0.183
SW_30,0.160,0.063,0.128,0.151,0.199,,,0.204,0.149,0.185,,0.155
SW_60,0.119,0.046,0.131,0.235,0.374,,,0.306,0.157,0.186,,0.194
SW_120,0.102,0.039,0.229,0.447,0.463,,,0.303,0.196,0.182,,0.245
sFC,0.056,0.020,0.426,0.426,0.426,,,0.300,0.488,0.163,,0.288
