,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,0.842,0.915,1.056,0.987,0.994,0.824,0.923,0.875,1.072,0.833,0.896
1,0.851,0.787,1.169,1.056,0.925,0.828,0.831,0.856,1.026,0.846,0.927
2,0.905,0.840,1.058,0.915,0.966,0.851,0.923,0.864,1.007,0.840,0.921
3,0.840,0.836,1.135,0.916,0.868,1.010,0.780,0.964,1.135,0.853,0.848
4,0.850,0.809,1.145,1.124,0.963,0.819,0.831,0.956,1.099,0.836,0.894
5,0.866,0.829,1.186,0.977,1.054,0.804,0.845,0.804,1.235,0.839,0.900
6,0.872,0.828,1.204,0.982,1.105,0.872,0.663,0.899,1.073,0.852,0.905
7,0.844,0.792,0.983,0.935,0.999,0.830,0.854,0.811,1.001,0.829,0.978
8,0.886,0.816,1.064,0.894,1.093,0.906,0.821,0.810,1.025,0.867,0.848
9,0.959,0.893,1.161,0.922,0.930,0.814,1.053,0.854,1.024,0.845,0.905
