,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,1.594,2.130,0.466,0.198,0.175,0.080,0.080,0.158,0.247,1.836,0.691
1,1.827,2.928,0.422,0.220,0.140,0.085,0.077,0.139,0.279,1.932,0.702
2,1.186,2.876,0.493,0.179,0.139,0.098,0.090,0.131,0.279,1.673,0.882
3,1.707,2.648,0.528,0.211,0.138,0.133,1.064,0.199,0.269,1.758,0.782
4,1.651,2.718,0.501,0.203,0.139,0.092,1.590,0.164,0.260,1.970,0.655
5,1.723,2.833,0.489,0.204,0.187,0.096,1.435,0.140,0.297,1.411,0.712
6,1.448,2.490,0.421,0.211,0.185,0.095,0.511,0.154,0.280,1.730,0.512
7,1.229,2.455,0.344,0.218,0.144,0.095,1.408,0.126,0.279,2.130,0.796
8,1.831,2.898,0.400,0.192,0.190,0.094,1.706,0.114,0.271,1.945,0.658
9,1.201,2.280,0.691,0.186,0.140,0.077,0.428,0.158,0.259,1.697,0.847
