,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,-,0.0523,0.0000,0.0000,0.0000,0.0000,0.0000,0.,0.
SVWP,-3.2062,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.,0.
DCC_joint,-71.5096,-62.9826,-,0.0000,0.0000,0.0000,1.,0.,0.
SW_cross_validated,-26.5159,-21.0627,44.489,-,0.0000,1.,0.0000,0.,0.
SW_15,-37.3754,-31.4146,31.4929,-11.7087,-,0.0000,0.0000,0.,0.
SW_30,-27.9495,-22.408,42.878,-1.5004,10.2272,-,0.0000,0.,0.
SW_60,-76.025,-65.8504,2.0848,-46.0324,-31.783,-44.2576,-,0.,0.
SW_120,-275.2159,-238.3294,-153.3472,-223.3123,-195.0378,-219.9548,-173.1616,-,0.0000
sFC,-421.3374,-342.0686,-232.9925,-332.6892,-285.4954,-327.0264,-274.4015,-85.3302,-
