,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,9.5832e-07,5.7052e-84,2.1754e-07,1.3541e-43,5.3757e-03,2.7706e-40,2.5103e-258,4.4072e-274
SVWP,9.5832e-07,,5.7852e-19,7.8445e-02,1.5244e-05,8.3145e-04,7.8023e-04,7.6768e-138,4.8649e-141
DCC_joint,5.7052e-84,5.7852e-19,,1.9289e-59,5.0217e-17,2.7120e-75,2.5204e-27,4.1243e-214,2.9065e-235
SW_cross_validated,2.1754e-07,7.8445e-02,1.9289e-59,,3.2757e-22,8.2724e-03,3.7456e-18,2.0000e-245,3.9231e-261
SW_15,1.3541e-43,1.5244e-05,5.0217e-17,3.2757e-22,,5.1041e-34,4.7290e-02,2.2239e-224,1.8409e-241
SW_30,5.3757e-03,8.3145e-04,2.7120e-75,8.2724e-03,5.1041e-34,,3.2093e-30,9.4301e-261,1.2399e-278
SW_60,2.7706e-40,7.8023e-04,2.5204e-27,3.7456e-18,4.7290e-02,3.2093e-30,,1.4295e-249,1.1029e-272
SW_120,2.5103e-258,7.6768e-138,4.1243e-214,2.0000e-245,2.2239e-224,9.4301e-261,1.4295e-249,,8.8423e-01
sFC,4.4072e-274,4.8649e-141,2.9065e-235,3.9231e-261,1.8409e-241,1.2399e-278,1.1029e-272,8.8423e-01,
