,kernel_lengthscales
sub-A00023510,0.127
sub-A00027544,0.124
sub-A00028177,0.097
sub-A00028185,0.105
sub-A00028207,0.099
sub-A00028287,0.150
sub-A00028352,0.140
sub-A00028429,0.144
sub-A00028606,0.072
sub-A00028656,0.121
sub-A00028694,0.190
sub-A00028766,0.123
sub-A00028844,0.127
sub-A00029076,0.175
sub-A00029092,0.102
sub-A00029126,0.142
sub-A00029127,0.157
sub-A00029231,0.147
sub-A00029303,0.103
sub-A00029304,0.105
sub-A00029979,0.162
sub-A00030913,0.099
sub-A00030989,0.087
sub-A00031216,0.072
sub-A00031217,0.074
sub-A00031272,0.099
sub-A00031459,0.188
sub-A00031549,0.103
sub-A00031625,0.269
sub-A00031871,0.161
sub-A00032007,0.071
sub-A00033180,0.098
sub-A00033231,0.092
sub-A00033232,0.119
sub-A00033247,0.195
sub-A00033248,0.131
sub-A00033640,0.086
sub-A00033643,0.126
sub-A00033747,0.094
sub-A00034193,0.138
sub-A00034385,0.098
sub-A00034854,0.193
sub-A00035036,0.149
sub-A00035363,0.119
sub-A00035553,0.118
sub-A00035608,0.106
sub-A00035840,0.105
sub-A00035879,0.282
sub-A00035881,0.094
sub-A00035926,0.084
sub-A00035943,0.093
sub-A00035960,0.100
sub-A00037081,0.126
sub-A00037112,0.198
sub-A00037117,0.163
sub-A00037118,0.115
sub-A00037122,0.077
sub-A00037123,0.142
sub-A00037160,0.081
sub-A00037170,0.104
sub-A00037198,0.119
sub-A00037266,0.123
sub-A00037378,0.080
sub-A00037387,0.126
sub-A00037396,0.085
sub-A00037445,0.237
sub-A00037476,0.125
sub-A00037511,0.246
sub-A00037531,0.071
sub-A00037647,0.136
sub-A00037725,0.098
sub-A00037877,0.132
sub-A00038158,0.184
sub-A00038159,0.065
sub-A00038189,0.090
sub-A00038285,0.088
sub-A00038522,0.080
sub-A00038605,0.063
sub-A00038616,0.116
sub-A00038642,0.090
sub-A00038718,0.073
sub-A00038731,0.066
sub-A00038831,0.092
sub-A00038832,0.097
sub-A00038998,0.133
sub-A00039084,0.097
sub-A00039143,0.083
sub-A00039159,0.073
sub-A00039218,0.087
sub-A00039431,0.080
sub-A00039463,0.253
sub-A00039488,0.104
sub-A00039636,0.171
sub-A00039686,0.088
sub-A00039755,0.106
sub-A00039819,0.140
sub-A00040151,0.088
sub-A00040193,0.085
sub-A00040226,0.087
sub-A00040301,0.111
sub-A00040524,0.162
sub-A00040543,0.110
sub-A00040573,0.173
sub-A00040623,0.168
sub-A00040628,0.074
sub-A00040640,0.101
sub-A00040740,0.118
sub-A00040827,0.107
sub-A00040890,0.173
sub-A00040915,0.171
sub-A00040944,0.139
sub-A00043299,0.101
sub-A00043384,0.131
sub-A00043462,0.106
sub-A00043466,0.074
sub-A00043509,0.077
sub-A00043520,0.141
sub-A00043649,0.090
sub-A00043677,0.071
sub-A00043704,0.088
sub-A00043722,0.261
sub-A00043998,0.121
sub-A00044012,0.090
sub-A00044130,0.112
sub-A00044131,0.095
sub-A00044291,0.077
sub-A00044307,0.121
sub-A00045590,0.093
sub-A00050795,0.108
sub-A00050940,0.086
sub-A00051063,0.146
sub-A00051064,0.118
sub-A00051477,0.190
sub-A00051514,0.111
sub-A00051539,0.143
sub-A00051603,0.113
sub-A00051638,0.135
sub-A00051658,0.121
sub-A00051679,0.081
sub-A00051726,0.117
sub-A00051774,0.127
sub-A00052125,0.097
sub-A00052126,0.084
sub-A00052197,0.099
sub-A00052235,0.168
sub-A00052307,0.088
sub-A00052340,0.107
sub-A00052500,0.085
sub-A00052502,0.109
sub-A00053473,0.147
sub-A00053474,0.089
sub-A00053475,0.093
sub-A00053546,0.084
sub-A00053576,0.069
sub-A00053577,0.110
sub-A00053578,0.122
sub-A00053850,0.090
sub-A00053851,0.094
sub-A00053854,0.110
sub-A00054019,0.148
sub-A00054173,0.136
sub-A00054441,0.391
sub-A00054504,0.119
sub-A00054532,0.113
sub-A00054533,0.091
sub-A00054534,0.090
sub-A00055121,0.143
sub-A00055215,0.093
sub-A00055373,0.109
sub-A00055446,0.114
sub-A00055542,0.146
sub-A00055738,0.075
sub-A00055806,0.132
sub-A00056097,0.229
sub-A00056098,0.099
sub-A00056627,0.171
sub-A00056898,0.099
sub-A00056919,0.074
sub-A00056949,0.154
sub-A00057005,0.079
sub-A00057035,0.136
sub-A00057182,0.142
sub-A00057183,0.249
sub-A00057203,0.083
sub-A00057235,0.166
sub-A00057372,0.159
sub-A00057406,0.165
sub-A00057444,0.106
sub-A00057786,0.099
sub-A00057808,0.120
sub-A00058214,0.156
sub-A00058515,0.156
sub-A00058621,0.086
sub-A00058667,0.162
sub-A00058999,0.081
sub-A00059074,0.161
sub-A00059428,0.126
sub-A00059527,0.090
sub-A00059756,0.165
sub-A00059911,0.147
sub-A00059990,0.115
sub-A00060006,0.179
sub-A00060093,0.143
sub-A00060169,0.082
sub-A00060259,0.280
sub-A00060279,0.152
sub-A00060302,0.091
sub-A00060372,0.153
sub-A00060471,0.455
sub-A00060480,0.116
sub-A00060516,0.101
sub-A00060576,0.110
sub-A00060581,0.084
sub-A00060582,0.074
sub-A00060628,0.148
sub-A00060629,0.233
sub-A00060630,0.096
sub-A00060632,0.196
sub-A00060662,0.079
sub-A00060773,0.086
sub-A00060848,0.103
sub-A00060925,0.240
sub-A00061284,0.144
sub-A00061387,1.737
sub-A00061598,0.104
sub-A00061727,0.104
sub-A00061881,0.090
sub-A00061882,0.098
sub-A00062248,0.168
sub-A00062288,0.124
sub-A00062351,0.090
sub-A00062411,0.084
sub-A00062917,0.143
sub-A00062934,0.126
sub-A00063103,0.107
sub-A00063326,0.136
sub-A00063368,0.132
sub-A00063450,0.074
sub-A00063589,0.100
sub-A00064580,0.095
sub-A00065197,0.089
sub-A00065574,0.094
sub-A00065617,0.075
sub-A00065790,0.116
sub-A00066087,0.154
sub-A00066091,0.111
sub-A00066153,0.105
sub-A00066232,0.208
sub-A00066236,0.130
sub-A00066246,0.132
sub-A00066319,0.118
sub-A00066735,0.092
sub-A00066781,0.152
sub-A00066812,0.106
sub-A00066822,0.092
sub-A00066827,0.090
sub-A00066926,0.107
sub-A00072203,0.102
sub-A00073600,0.123
sub-A00073975,0.199
sub-A00074000,0.120
sub-A00074425,0.081
sub-A00074609,0.138
sub-A00074780,0.103
sub-A00075156,0.127
sub-A00075412,0.083
sub-A00075721,0.159
sub-A00075896,0.107
sub-A00075964,0.091
sub-A00077109,0.161
sub-A00077182,0.170
sub-A00077204,0.270
sub-A00077637,0.471
sub-A00077733,0.116
sub-A00077734,0.191
sub-A00077758,0.095
sub-A00078238,0.117
sub-A00079353,0.106
sub-A00079747,0.101
sub-A00079907,0.182
sub-A00080447,0.073
sub-A00080452,0.122
sub-A00080453,0.089
sub-A00081112,0.138
sub-A00081938,0.122
sub-A00082554,0.143
