,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.69,4.80,2.61,3.81,6.97,6.29,0.07,0.75
DCC_joint,,0.69,,7.78,4.57,6.12,12.67,10.97,1.17,0.16
DCC_bivariate_loop,,4.80,7.78,,9.56,0.91,1.84,1.25,6.45,7.95
SW_cross_validated,,2.61,4.57,9.56,,7.91,14.38,12.74,4.41,4.75
SW_15,,3.81,6.12,0.91,7.91,,2.77,2.18,5.03,6.26
SW_30,,6.97,12.67,1.84,14.38,2.77,,0.60,10.23,13.05
SW_60,,6.29,10.97,1.25,12.74,2.18,0.60,,8.97,11.27
SW_120,,0.07,1.17,6.45,4.41,5.03,10.23,8.97,,1.32
sFC,,0.75,0.16,7.95,4.75,6.26,13.05,11.27,1.32,
