,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,1.564,1.953,0.299,0.337,0.194,0.188,0.124,0.163,0.481,1.012,1.068
1,1.242,1.914,0.360,0.190,0.192,0.236,1.174,0.257,0.474,1.772,0.962
2,1.575,2.160,0.388,0.190,0.184,0.177,0.144,0.557,0.292,1.544,0.756
3,1.234,1.395,0.346,0.211,0.192,0.153,0.555,0.745,0.307,1.896,1.508
4,0.591,2.472,0.615,0.254,0.179,0.193,1.609,1.066,0.658,1.603,1.432
5,1.276,0.819,0.413,0.257,0.186,0.799,1.250,0.267,0.337,1.262,0.831
6,1.668,2.602,0.596,0.231,0.157,1.386,0.122,0.500,0.485,1.240,1.145
7,1.735,2.288,0.424,0.178,0.192,0.200,1.603,1.417,0.369,1.709,1.121
8,1.411,2.158,0.598,0.282,0.143,0.125,1.136,0.148,0.336,1.331,0.460
9,1.073,1.856,0.330,0.154,0.187,0.224,1.449,1.188,0.280,1.955,1.146
