,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,1.561,2.066,0.524,0.275,0.221,0.117,0.820,0.177,0.474,1.646,1.238
1,1.632,1.164,0.411,0.208,0.225,0.222,0.850,0.223,0.425,1.847,1.003
2,1.558,2.233,0.682,0.263,0.227,0.093,1.114,0.303,0.345,1.756,0.624
3,1.474,2.278,0.630,0.232,0.214,0.180,0.089,0.793,0.306,1.701,0.811
4,1.205,2.445,0.551,0.256,0.212,1.039,1.388,0.647,0.696,1.316,1.488
5,1.336,1.403,0.347,0.199,0.171,0.126,1.506,0.205,0.279,0.688,0.936
6,1.527,2.402,0.648,0.251,0.148,1.336,0.967,0.243,0.512,1.527,0.833
7,1.421,2.366,0.445,0.157,0.201,0.197,0.060,1.188,0.574,1.756,1.236
8,1.243,2.417,0.638,0.214,0.172,0.120,1.201,0.140,0.406,1.518,0.446
9,1.369,1.806,0.456,0.154,0.166,0.156,1.435,0.355,0.333,1.571,1.248
