,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.000,-0.295,0.434,0.069,0.177,-0.007,-0.226,0.132,-0.006,0.007,-0.128,0.274,-0.227,-0.176,-0.091
1,-0.295,1.000,-0.239,0.023,-0.139,-0.077,0.173,-0.664,0.184,0.360,0.002,-0.329,-0.120,-0.076,-0.195
2,0.434,-0.239,1.000,-0.040,0.291,-0.086,-0.242,0.116,0.070,-0.053,-0.246,0.051,-0.118,0.118,0.005
3,0.069,0.023,-0.040,1.000,-0.151,0.014,0.093,-0.032,-0.079,0.007,0.142,-0.129,0.027,0.084,0.160
4,0.177,-0.139,0.291,-0.151,1.000,-0.190,-0.378,0.031,-0.118,-0.022,-0.346,0.331,-0.271,-0.232,-0.116
5,-0.007,-0.077,-0.086,0.014,-0.190,1.000,0.241,0.155,0.074,-0.092,0.030,0.048,0.154,-0.087,-0.030
6,-0.226,0.173,-0.242,0.093,-0.378,0.241,1.000,-0.099,0.052,0.030,0.200,-0.290,0.310,0.212,-0.027
7,0.132,-0.664,0.116,-0.032,0.031,0.155,-0.099,1.000,-0.229,-0.166,0.025,0.252,0.188,0.077,0.228
8,-0.006,0.184,0.070,-0.079,-0.118,0.074,0.052,-0.229,1.000,-0.137,-0.229,-0.046,-0.097,0.168,-0.152
9,0.007,0.360,-0.053,0.007,-0.022,-0.092,0.030,-0.166,-0.137,1.000,-0.018,-0.186,-0.017,-0.192,-0.128
10,-0.128,0.002,-0.246,0.142,-0.346,0.030,0.200,0.025,-0.229,-0.018,1.000,-0.065,0.143,0.012,0.072
11,0.274,-0.329,0.051,-0.129,0.331,0.048,-0.290,0.252,-0.046,-0.186,-0.065,1.000,-0.128,-0.232,-0.166
12,-0.227,-0.120,-0.118,0.027,-0.271,0.154,0.310,0.188,-0.097,-0.017,0.143,-0.128,1.000,0.283,0.179
13,-0.176,-0.076,0.118,0.084,-0.232,-0.087,0.212,0.077,0.168,-0.192,0.012,-0.232,0.283,1.000,0.123
14,-0.091,-0.195,0.005,0.160,-0.116,-0.030,-0.027,0.228,-0.152,-0.128,0.072,-0.166,0.179,0.123,1.000
