,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.000,0.263,0.085,0.253,0.146,0.263,0.298,0.178,0.218,0.263,0.182,0.132,0.296,0.227,0.188
1,0.263,0.000,0.234,0.247,0.235,0.299,0.168,0.080,0.176,0.078,0.200,0.190,0.302,0.256,0.241
2,0.085,0.234,0.000,0.273,0.120,0.290,0.220,0.173,0.181,0.289,0.157,0.249,0.244,0.103,0.176
3,0.253,0.247,0.273,0.000,0.230,0.277,0.182,0.259,0.283,0.258,0.134,0.294,0.237,0.192,0.201
4,0.146,0.235,0.120,0.230,0.000,0.296,0.233,0.153,0.273,0.224,0.130,0.053,0.239,0.163,0.191
5,0.263,0.299,0.290,0.277,0.296,0.000,0.134,0.172,0.239,0.275,0.206,0.240,0.175,0.302,0.208
6,0.298,0.168,0.220,0.182,0.233,0.134,0.000,0.290,0.211,0.196,0.128,0.317,0.068,0.218,0.207
7,0.178,0.080,0.173,0.259,0.153,0.172,0.290,0.000,0.231,0.332,0.223,0.124,0.122,0.258,0.108
8,0.218,0.176,0.181,0.283,0.273,0.239,0.211,0.231,0.000,0.339,0.198,0.272,0.284,0.148,0.114
9,0.263,0.078,0.289,0.258,0.224,0.275,0.196,0.332,0.339,0.000,0.191,0.347,0.210,0.201,0.126
10,0.182,0.200,0.157,0.134,0.130,0.206,0.128,0.223,0.198,0.191,0.000,0.157,0.200,0.154,0.181
11,0.132,0.190,0.249,0.294,0.053,0.240,0.317,0.124,0.272,0.347,0.157,0.000,0.271,0.337,0.110
12,0.296,0.302,0.244,0.237,0.239,0.175,0.068,0.122,0.284,0.210,0.200,0.271,0.000,0.246,0.095
13,0.227,0.256,0.103,0.192,0.163,0.302,0.218,0.258,0.148,0.201,0.154,0.337,0.246,0.000,0.184
14,0.188,0.241,0.176,0.201,0.191,0.208,0.207,0.108,0.114,0.126,0.181,0.110,0.095,0.184,0.000
