,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.000,0.219,0.156,0.244,0.247,0.266,0.245,0.260,0.255,0.281,0.285,0.223,0.265,0.268,0.295
1,0.219,0.000,0.232,0.266,0.252,0.265,0.229,0.088,0.251,0.179,0.300,0.211,0.276,0.273,0.276
2,0.156,0.232,0.000,0.255,0.238,0.274,0.251,0.264,0.267,0.286,0.257,0.287,0.285,0.262,0.303
3,0.244,0.266,0.255,0.000,0.244,0.270,0.260,0.276,0.274,0.272,0.254,0.266,0.281,0.261,0.286
4,0.247,0.252,0.238,0.244,0.000,0.252,0.200,0.261,0.241,0.264,0.238,0.192,0.256,0.246,0.256
5,0.266,0.265,0.274,0.270,0.252,0.000,0.228,0.260,0.252,0.268,0.299,0.279,0.264,0.273,0.309
6,0.245,0.229,0.251,0.260,0.200,0.228,0.000,0.262,0.268,0.271,0.264,0.237,0.210,0.266,0.303
7,0.260,0.088,0.264,0.276,0.261,0.260,0.262,0.000,0.253,0.256,0.303,0.219,0.253,0.273,0.261
8,0.255,0.251,0.267,0.274,0.241,0.252,0.268,0.253,0.000,0.267,0.273,0.278,0.274,0.245,0.287
9,0.281,0.179,0.286,0.272,0.264,0.268,0.271,0.256,0.267,0.000,0.287,0.255,0.277,0.258,0.281
10,0.285,0.300,0.257,0.254,0.238,0.299,0.264,0.303,0.273,0.287,0.000,0.285,0.291,0.303,0.315
11,0.223,0.211,0.287,0.266,0.192,0.279,0.237,0.219,0.278,0.255,0.285,0.000,0.285,0.255,0.274
12,0.265,0.276,0.285,0.281,0.256,0.264,0.210,0.253,0.274,0.277,0.291,0.285,0.000,0.254,0.293
13,0.268,0.273,0.262,0.261,0.246,0.273,0.266,0.273,0.245,0.258,0.303,0.255,0.254,0.000,0.299
14,0.295,0.276,0.303,0.286,0.256,0.309,0.303,0.261,0.287,0.281,0.315,0.274,0.293,0.299,0.000
