,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP,0.012,0.021,0.072,0.076,0.122,0.177,0.434,0.206,0.142,0.149,0.102,0.138
SVWP,0.011,0.022,0.071,0.092,0.126,0.223,0.500,0.220,0.150,0.150,0.099,0.151
DCC_joint,0.047,0.017,0.150,0.205,0.242,0.273,0.290,0.209,0.195,0.146,0.128,0.173
SW_cross_validated,0.074,0.042,0.096,0.123,0.172,0.207,0.247,0.168,0.136,0.154,0.090,0.137
SW_15,0.195,0.083,0.129,0.133,0.165,0.178,0.208,0.173,0.136,0.186,0.152,0.158
SW_30,0.127,0.052,0.102,0.137,0.212,0.291,0.371,0.169,0.135,0.165,0.110,0.170
SW_60,0.090,0.040,0.133,0.261,0.435,0.555,0.594,0.269,0.170,0.168,0.095,0.255
SW_120,0.077,0.032,0.263,0.525,0.542,0.459,0.503,0.264,0.218,0.160,0.108,0.286
sFC,0.029,0.012,0.508,0.504,0.505,0.501,0.503,0.269,0.576,0.147,0.215,0.343
