,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP,0.074,0.084,0.183,0.209,0.247,0.282,0.475,0.263,0.629,0.170,0.141,0.251
SVWP,0.084,0.086,0.186,0.241,0.265,0.315,0.506,0.258,0.332,0.166,0.140,0.235
DCC_joint,0.072,0.062,0.158,0.216,0.245,0.276,0.293,0.211,0.197,0.152,0.134,0.183
SW_cross_validated,0.174,0.239,0.267,0.282,0.308,0.311,0.328,0.237,0.272,0.237,0.207,0.260
SW_15,0.317,0.369,0.350,0.346,0.365,0.346,0.349,0.300,0.337,0.318,0.330,0.339
SW_30,0.219,0.265,0.256,0.257,0.304,0.348,0.413,0.243,0.251,0.260,0.236,0.278
SW_60,0.172,0.206,0.214,0.299,0.465,0.579,0.609,0.298,0.247,0.245,0.196,0.321
SW_120,0.174,0.210,0.291,0.559,0.566,0.498,0.526,0.301,0.302,0.238,0.209,0.352
sFC,0.029,0.014,0.508,0.504,0.505,0.501,0.503,0.269,0.576,0.147,0.215,0.343
