,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP,0.036,0.013,0.019,0.018,0.043,0.110,0.128,0.044,0.035,0.016,0.009,0.043
SVWP,0.032,0.018,0.014,0.033,0.021,0.140,0.010,0.045,0.032,0.016,0.012,0.034
DCC_joint,0.035,0.014,0.025,0.027,0.028,0.022,0.029,0.011,0.027,0.019,0.028,0.024
SW_cross_validated,0.037,0.030,0.019,0.028,0.035,0.021,0.026,0.018,0.017,0.015,0.009,0.023
SW_15,0.026,0.024,0.017,0.028,0.030,0.029,0.033,0.026,0.016,0.025,0.030,0.026
SW_30,0.034,0.023,0.011,0.024,0.034,0.022,0.017,0.016,0.016,0.020,0.022,0.022
SW_60,0.036,0.023,0.016,0.022,0.012,0.009,0.011,0.013,0.012,0.017,0.009,0.016
SW_120,0.038,0.020,0.023,0.014,0.011,0.017,0.006,0.005,0.012,0.009,0.010,0.015
sFC,0.019,0.007,0.008,0.005,0.006,0.001,0.002,0.005,0.003,0.012,0.003,0.007
