,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP,0.018,0.015,0.019,0.013,0.012,0.047,0.052,0.022,0.015,0.006,0.007,0.021
SVWP,0.017,0.017,0.019,0.017,0.012,0.060,0.004,0.019,0.016,0.007,0.007,0.018
DCC_joint,0.017,0.016,0.011,0.012,0.013,0.010,0.013,0.005,0.012,0.008,0.013,0.012
SW_cross_validated,0.017,0.022,0.022,0.018,0.015,0.009,0.011,0.008,0.012,0.008,0.013,0.014
SW_15,0.014,0.015,0.016,0.018,0.015,0.013,0.016,0.009,0.015,0.012,0.018,0.014
SW_30,0.015,0.016,0.017,0.014,0.014,0.010,0.006,0.008,0.014,0.013,0.012,0.013
SW_60,0.016,0.019,0.015,0.009,0.005,0.004,0.005,0.005,0.009,0.007,0.008,0.009
SW_120,0.019,0.011,0.016,0.004,0.004,0.007,0.002,0.005,0.012,0.007,0.011,0.009
sFC,0.009,0.003,0.004,0.002,0.003,0.001,0.001,0.002,0.001,0.005,0.001,0.003
