,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,-,1.,0.0002,0.2752,0.0156,0.0204,0.0000,0.0000,0.0000
SVWP,-0.3793,-,0.0001,0.3021,0.011,0.0179,0.0000,0.0000,0.0000
DCC_joint,-6.4879,-6.9767,-,0.0455,0.6025,1.,0.0000,0.0000,0.0000
SW_cross_validated,-3.0025,-2.9596,3.8162,-,1.,1.,0.0000,0.0000,0.0000
SW_15,-4.2966,-4.4566,2.6372,-1.3291,-,1.,0.0000,0.0000,0.0000
SW_30,-4.1766,-4.2364,1.8085,-1.5393,-0.4126,-,0.0000,0.0000,0.0000
SW_60,-19.9515,-22.8651,-16.8587,-19.4693,-19.4721,-15.4941,-,0.0000,0.0000
SW_120,-30.8719,-36.911,-32.2662,-33.1325,-34.8726,-26.5807,-15.152,-,0.0000
sFC,-28.6403,-34.8211,-29.8536,-30.8244,-32.6533,-24.1157,-10.8474,10.0693,-
