,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.000,0.835,0.839,0.836,0.835,0.834,0.833,0.833,0.838,0.832,0.828,0.833,0.831,0.827,0.825
1,0.835,0.000,0.832,0.833,0.831,0.834,0.832,0.840,0.830,0.833,0.823,0.832,0.829,0.828,0.823
2,0.839,0.832,0.000,0.839,0.829,0.830,0.829,0.829,0.832,0.829,0.828,0.829,0.826,0.826,0.822
3,0.836,0.833,0.839,0.000,0.840,0.831,0.830,0.832,0.831,0.831,0.826,0.833,0.828,0.830,0.826
4,0.835,0.831,0.829,0.840,0.000,0.832,0.833,0.830,0.834,0.832,0.830,0.832,0.830,0.828,0.832
5,0.834,0.834,0.830,0.831,0.832,0.000,0.832,0.832,0.833,0.834,0.822,0.830,0.829,0.829,0.820
6,0.833,0.832,0.829,0.830,0.833,0.832,0.000,0.832,0.831,0.830,0.825,0.831,0.826,0.827,0.821
7,0.833,0.840,0.829,0.832,0.830,0.832,0.832,0.000,0.832,0.835,0.824,0.829,0.828,0.827,0.824
8,0.838,0.830,0.832,0.831,0.834,0.833,0.831,0.832,0.000,0.832,0.825,0.830,0.830,0.828,0.822
9,0.832,0.833,0.829,0.831,0.832,0.834,0.830,0.835,0.832,0.000,0.825,0.835,0.829,0.827,0.822
10,0.828,0.823,0.828,0.826,0.830,0.822,0.825,0.824,0.825,0.825,0.000,0.827,0.824,0.822,0.825
11,0.833,0.832,0.829,0.833,0.832,0.830,0.831,0.829,0.830,0.835,0.827,0.000,0.827,0.832,0.824
12,0.831,0.829,0.826,0.828,0.830,0.829,0.826,0.828,0.830,0.829,0.824,0.827,0.000,0.826,0.821
13,0.827,0.828,0.826,0.830,0.828,0.829,0.827,0.827,0.828,0.827,0.822,0.832,0.826,0.000,0.823
14,0.825,0.823,0.822,0.826,0.832,0.820,0.821,0.824,0.822,0.822,0.825,0.824,0.821,0.823,0.000
