,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,6.0028e-01,8.0713e-02,1.8210e-13,8.5161e-135,1.8820e-54,1.5209e-19,4.1954e-07,7.6786e-15
SVWP,6.0028e-01,,1.4603e-02,3.1099e-16,6.0627e-146,6.4155e-62,2.2460e-23,4.1836e-09,1.6281e-14
DCC_joint,8.0713e-02,1.4603e-02,,2.4665e-11,2.3637e-154,5.8121e-60,4.1358e-18,7.3435e-05,1.5254e-28
SW_cross_validated,1.8210e-13,3.1099e-16,2.4665e-11,,2.8103e-106,1.4397e-21,1.2717e-01,2.0205e-03,2.3060e-52
SW_15,8.5161e-135,6.0627e-146,2.3637e-154,2.8103e-106,,1.5279e-78,8.3285e-110,4.9402e-133,2.4074e-207
SW_30,1.8820e-54,6.4155e-62,5.8121e-60,1.4397e-21,1.5279e-78,,2.4195e-18,3.0863e-39,3.2610e-119
SW_60,1.5209e-19,2.2460e-23,4.1358e-18,1.2717e-01,8.3285e-110,2.4195e-18,,9.1887e-07,2.9784e-67
SW_120,4.1954e-07,4.1836e-09,7.3435e-05,2.0205e-03,4.9402e-133,3.0863e-39,9.1887e-07,,3.2775e-44
sFC,7.6786e-15,1.6281e-14,1.5254e-28,2.3060e-52,2.4074e-207,3.2610e-119,2.9784e-67,3.2775e-44,
