,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.010,0.015,0.021,0.019,0.027,0.022,0.088,,0.400,0.011,0.018,0.063
DCC_joint,0.011,0.013,0.014,0.016,0.021,0.009,0.016,,0.017,0.009,0.012,0.014
DCC_bivariate_loop,0.013,0.012,0.015,0.016,0.020,0.010,0.017,,0.016,0.009,0.013,0.014
SW_cross_validated,0.006,0.019,0.029,0.022,0.018,0.027,0.027,,0.043,0.018,0.011,0.022
SW_15,0.009,0.019,0.034,0.016,0.012,0.017,0.028,0.025,0.029,0.026,0.036,0.023
SW_30,0.013,0.019,0.026,0.012,0.016,0.019,0.026,0.022,0.025,0.029,0.023,0.021
SW_60,0.015,0.020,0.023,0.016,0.013,0.016,0.012,0.024,0.016,0.022,0.024,0.018
SW_120,0.009,0.023,0.018,0.015,0.011,0.006,0.009,0.012,0.014,0.015,0.016,0.013
sFC,0.013,0.005,0.002,0.002,0.001,0.001,0.003,0.004,0.001,0.004,0.002,0.003
