,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.009,0.015,0.066,0.088,0.107,0.126,0.351,0.169,0.119,0.167,0.103,0.120
DCC_joint,0.032,0.012,0.149,0.190,0.211,0.228,0.252,0.218,0.182,0.150,0.133,0.160
DCC_bivariate_loop,0.045,0.015,0.152,0.193,0.213,0.230,0.253,0.219,0.200,0.150,0.135,0.164
SW_cross_validated,0.070,0.024,0.104,0.122,0.129,0.146,0.162,0.175,0.129,0.166,0.097,0.120
SW_15,0.229,0.090,0.164,0.177,0.171,0.179,0.190,0.203,0.168,0.193,0.175,0.176
SW_30,0.157,0.055,0.116,0.126,0.131,0.151,0.175,0.173,0.129,0.160,0.123,0.136
SW_60,0.111,0.038,0.088,0.121,0.173,0.240,0.317,0.192,0.123,0.166,0.102,0.152
SW_120,0.081,0.028,0.115,0.228,0.378,0.481,0.514,0.318,0.148,0.176,0.103,0.234
sFC,0.030,0.010,0.436,0.436,0.435,0.435,0.436,0.317,0.501,0.164,0.247,0.313
