,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.011,0.006,0.011,0.016,0.038,0.021,0.124,,0.010,0.004,0.009,0.025
DCC_joint,0.016,0.004,0.012,0.015,0.018,0.010,0.017,,0.017,0.006,0.010,0.012
DCC_bivariate_loop,0.017,0.004,0.013,0.015,0.017,0.011,0.017,,0.016,0.005,0.011,0.013
SW_cross_validated,0.017,0.006,0.010,0.017,0.015,0.009,0.019,,0.012,0.010,0.010,0.012
SW_15,0.014,0.008,0.011,0.013,0.015,0.010,0.018,0.009,0.018,0.013,0.013,0.013
SW_30,0.017,0.004,0.009,0.014,0.018,0.011,0.015,0.015,0.013,0.012,0.011,0.013
SW_60,0.016,0.005,0.009,0.014,0.015,0.014,0.010,0.015,0.008,0.011,0.012,0.012
SW_120,0.013,0.008,0.010,0.012,0.012,0.003,0.006,0.007,0.004,0.007,0.010,0.008
sFC,0.013,0.005,0.002,0.002,0.001,0.001,0.003,0.004,0.001,0.004,0.002,0.003
