,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.049,0.048,0.126,0.157,0.184,0.206,0.382,,1.300,0.178,0.140,0.277
DCC_joint,0.040,0.031,0.152,0.191,0.214,0.229,0.252,,0.183,0.155,0.137,0.158
DCC_bivariate_loop,0.051,0.032,0.156,0.193,0.215,0.231,0.254,,0.201,0.156,0.138,0.163
SW_cross_validated,0.132,0.175,0.217,0.224,0.240,0.252,0.267,,0.246,0.223,0.174,0.215
SW_15,0.300,0.339,0.323,0.310,0.312,0.323,0.332,0.326,0.328,0.311,0.322,0.321
SW_30,0.216,0.237,0.232,0.224,0.230,0.235,0.256,0.256,0.238,0.242,0.231,0.236
SW_60,0.160,0.170,0.175,0.171,0.217,0.266,0.344,0.235,0.197,0.217,0.185,0.212
SW_120,0.129,0.145,0.164,0.243,0.397,0.495,0.529,0.333,0.203,0.222,0.165,0.275
sFC,0.030,0.010,0.436,0.436,0.435,0.435,0.436,0.317,0.501,0.164,0.247,0.313
