,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,0.940,0.826,0.824,0.936,0.977,0.852,0.873,0.814,0.916,0.970,0.877
1,0.874,0.837,0.893,0.816,0.854,0.945,1.291,0.883,0.859,0.864,0.852
2,0.846,0.917,0.999,1.003,0.848,0.837,0.868,0.987,1.060,0.896,0.918
3,0.878,0.877,0.948,0.908,0.879,0.887,1.079,0.969,0.879,0.844,0.886
4,0.827,0.900,0.878,0.876,0.979,1.040,0.831,0.884,0.917,0.871,0.914
5,0.827,0.851,0.915,0.816,0.860,0.854,0.833,0.842,0.932,0.844,0.889
6,0.884,0.832,1.053,0.880,0.835,0.857,0.826,0.860,0.969,0.855,0.924
7,0.873,0.766,0.868,0.945,0.844,1.040,0.813,0.926,0.882,0.833,0.903
8,0.881,0.895,0.952,1.003,0.957,0.864,0.885,0.817,0.896,0.852,0.918
9,0.833,0.844,0.863,0.943,0.945,0.835,0.849,0.829,0.867,0.823,0.830
