,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,0.990,0.695,0.316,0.241,0.149,1.075,1.183,0.999,0.427,1.531,1.146
1,1.005,2.110,0.351,0.186,0.136,0.154,0.499,0.204,0.222,1.646,0.629
2,1.526,0.607,0.378,0.204,0.121,0.087,1.146,0.544,0.603,1.156,0.998
3,1.320,0.811,0.386,0.234,0.147,0.108,0.905,0.332,0.255,1.687,0.939
4,1.340,1.976,0.349,0.169,0.185,0.152,1.223,1.719,0.321,1.237,1.565
5,1.554,1.892,0.342,0.154,0.125,1.193,1.497,1.837,0.322,1.578,0.985
6,1.814,2.285,0.414,0.241,0.127,1.390,1.605,1.737,0.460,2.078,1.001
7,1.660,1.571,0.332,0.237,0.154,1.077,0.659,0.816,0.289,1.844,1.074
8,1.397,1.540,0.451,0.244,0.160,1.287,1.543,0.154,0.517,1.928,1.177
9,2.126,2.243,0.354,0.265,0.157,1.727,1.503,1.673,0.333,2.130,1.296
