,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
175,79,71,35,29,27,23,29,39
176,99,77,23,23,21,29,33,99
177,95,95,25,25,25,43,29,93
178,97,93,41,21,21,31,31,41
179,99,67,27,21,21,31,21,91
180,67,99,21,21,23,35,31,99
181,95,97,31,21,21,21,21,71
182,83,73,33,25,21,25,21,97
183,53,85,29,27,21,21,43,97
184,49,63,21,21,21,21,33,89
185,29,99,29,21,21,99,33,47
186,91,75,23,25,21,25,33,39
187,83,97,29,23,25,23,21,71
188,83,87,21,33,21,31,29,89
189,93,39,23,21,23,23,23,91
190,75,89,23,21,21,29,21,89
191,95,99,29,21,21,99,23,75
192,91,99,35,21,21,23,33,25
193,99,99,23,21,21,27,21,55
194,81,65,23,21,21,23,29,99
195,67,41,45,21,21,35,21,93
196,95,49,29,21,23,47,27,29
197,67,87,43,29,21,33,21,51
198,71,71,21,21,21,43,21,89
199,99,97,35,37,21,29,35,69
